ID,英文名稱,中文名稱,圖片,備註,更新日期
3635334,Lagrange interpolation polynomial,Lagrange插值多項式,,,2018-12-17
3635335,Laplace classical probability,Laplace古典機率,,,2018-12-17
3635336,Laplace probability,Laplace機率,,,2018-12-17
3635337,last term,末項,,,2018-12-17
3635338,latitude,緯度,,,2018-12-17
3635339,latus rectum,正焦弦,,,2018-12-17
3635340,law of cosine；cosine law,餘弦定律,,,2018-12-17
3635341,law of exponent,指數律,,,2018-12-17
3635342,law of logarithm,對數律,,,2018-12-17
3635343,law of sine；sine law,正弦定律,,,2018-12-17
3635344,leading coefficient,領導係數；首項係數,,,2018-12-17
3635345,leading term,首項,,,2018-12-17
3635346,least common multiple,最小公倍數,,,2018-12-17
3635347,least squares method,最小平方法,,,2018-12-17
3635348,left limit；left handed limit；left-hand limit,左極限,,,2018-12-17
3635349,length,長度,,,2018-12-17
3635350,length of tangent,切線[段]長；切距,,,2018-12-17
3635351,less than cumulative frequency distribution,以下累積次數分布；以下累積次數分配,,,2018-12-17
3635352,limit,極限,,,2018-12-17
3635353,line,線；直線,,,2018-12-17
3635354,line of intersection,交線,,,2018-12-17
3635355,line permutation；linear arrangement,直線排列,,,2018-12-17
3635356,linear correlation,線性相關；直線相關,,,2018-12-17
3635357,linear function,線性函數；一次函數；線型函數,,,2018-12-17
3635358,linear inequality,線性不等式,,,2018-12-17
3635359,linear interpolation,線性插值[法],,,2018-12-17
3635360,linear programming,線性規劃,,,2018-12-17
3635361,liter,公升,,,2018-12-17
3635362,local maximum,[局部]極大[值],,,2018-12-17
3635363,local minimum,[局部]極小[值],,,2018-12-17
3635364,logarithm,對數,,,2018-12-17
3635365,logarithmic function,對數函數,,,2018-12-17
3635366,logic,理則學；邏輯[學],,,2018-12-17
3635367,long division,長除法,,,2018-12-17
3635368,longitude,經度,,,2018-12-17
3635369,lower limit,下極限,,,2018-12-17
3635370,lower sum,下和,,,2018-12-17
3635371,main diagonal,主對角線,,,2018-12-17
3635372,major axis,長軸,,,2018-12-17
3635373,mantissa,尾數,,,2018-12-17
3635374,marginal cost,邊際成本,,,2018-12-17
3635375,mathematical expectation,數學期望值,,,2018-12-17
3635376,mathematical induction,數學歸納法,,,2018-12-17
3635377,matrix,矩陣,,,2018-12-17
3635378,matrix of coefficients,係數矩陣,,,2018-12-17
3635379,maximum；maximum value；maximal value,最大[值]；極大[值],,,2018-12-17
3635380,mean,平均；平均值；平均數,,,2018-12-17
3635381,mean value theorem,均值定理,,,2018-12-17
3635382,median,中位數；中線,,,2018-12-17
3635383,meter,公尺,,,2018-12-17
3635384,method of detached coefficients,分離係數法,,,2018-12-17
3635385,method of least squares,最小平方法,,,2018-12-17
3635386,method of slicing,切片法,,,2018-12-17
3635387,middle point,中點,,,2018-12-17
3635388,mid-point,中點,,,2018-12-17
3635389,midpoint formula,中點公式,,,2018-12-17
3635390,mid-point method,中點法,,,2018-12-17
3635391,milliliter,毫升；公撮,,,2018-12-17
3635392,millimeter,毫米,,20210607修訂,2021-06-07
3635393,minimum；minimum value；minimal value,最小[值]；極小[值],,,2018-12-17
3635394,minor axis,短軸,,,2018-12-17
3635395,minuend,被減數,,,2018-12-17
3635396,minus,減；負的,,,2018-12-17
3635397,minus sign,減號；負號,,,2018-12-17
3635398,minute,分,,,2018-12-17
3635399,mode,衆數；方式,,,2018-12-17
3635400,modulus,模；模數；絕對值；尺度,,,2018-12-17
3635401,monomial,單項式；單項的,,,2018-12-17
3635402,more than cumulative frequency distribution,以上累積次數分布；以上累積次數分配,,,2018-12-17
3635403,multiple,倍數；倍式；多重,,,2018-12-17
3635404,multiplicand,被乘數；被乘式,,,2018-12-17
3635405,multiplication,乘法,,,2018-12-17
3635406,multiplication rule,乘法原理；乘法法則,,,2018-12-17
3635407,multiplier,乘數；乘式；乘子,,,2018-12-17
3635408,multiplier rule,乘數法則,,,2018-12-17
3635409,multivariate polynomial,多元多項式,,,2018-12-17
3635410,mutually exclusive events,互斥事件,,,2018-12-17
3635411,natural logarithm,自然對數,,,2018-12-17
3635412,natural number,自然數,,,2018-12-17
3635413,negative angle,負角,,,2018-12-17
3635414,negative angle identity,負角恆等式；負角關係式,,,2018-12-17
3635415,negative correlation,負相關,,,2018-12-17
3635416,negative integer,負整數,,,2018-12-17
3635417,"Newton, Isaac (1643-1727)",牛頓,,,2018-12-17
3635418,Newton's method,牛頓法,,,2018-12-17
3635419,Newton's rational root theorem,牛頓有理根判別定理,,,2018-12-17
3635420,nonnegative integer,非負整數,,,2018-12-17
3635421,normal curve,正規曲線,,,2018-12-17
3635422,normal distribution,常態分布；常態分配,,,2018-12-17
3635423,normal form,範式；正規形式；法線式,,,2018-12-17
3635424,normal line,法線,,,2018-12-17
3635425,normal vector,法向量,,,2018-12-17
3635426,n-th root,n次方根,,,2018-12-17
3635427,null vector,零向量,,,2018-12-17
3635428,number line,數線,,,2018-12-17
3635429,numerator,分子,,,2018-12-17
3635430,objective function,目標函數,,,2018-12-17
3635431,octant,卦限,,,2018-12-17
3635432,odd function,奇函數,,,2018-12-17
3635433,odd number,奇數,,,2018-12-17
3635434,ogive curve,肩形曲線,,,2018-12-17
3635435,one-to-one correspondence,一對一對應,,,2018-12-17
3635436,open interval,開區間,,,2018-12-17
3635437,opposite side,對邊,,,2018-12-17
3635438,optimal solution,最佳解,,,2018-12-17
3635439,optimization problem,最佳化問題,,,2018-12-17
3635440,ordered pair,有序偶；[有序]數對,,,2018-12-17
3635441,ordinal,順序的；次序的；序數,,,2018-12-17
3635442,ordinate,縱[坐]標,,,2018-12-17
3635443,origin,原點,,,2018-12-17
3635444,orthogonal,正交；直交,,,2018-12-17
3635445,orthogonal projection,正[交]射影,,,2018-12-17
3635446,parabola,拋物線,,,2018-12-17
3635447,parallel,平行,,,2018-12-17
