ID,英文名稱,中文名稱,圖片,更新時間,更新日期
5462237,ascospore,子囊孢子,,,2019-10-31
5462238,ascus {pl. asci},子囊,,,2019-10-31
5462239,asexual reproduction,無性生殖,,,2019-10-31
5462240,asparagine,天[門]冬醯胺酸,,,2019-10-31
5462241,aspartame,阿斯巴甜,,,2019-10-31
5462242,aspartic acid,天[門]冬胺酸,,,2019-10-31
5462243,assimilation,同化[作用],,,2019-10-31
5462244,association area,聯合區,,,2019-10-31
5462245,associative neuron,聯絡神經元,,,2019-10-31
5462246,aster,星狀體；星狀微管,,,2019-10-31
5462247,astigmatism,散光,,,2019-10-31
5462248,astrocyte,星狀細胞,,,2019-10-31
5462249,astroglia,星狀細胞,,,2019-10-31
5462250,atavism,返祖[現象],,,2019-10-31
5462251,ataxia,運動失調,,,2019-10-31
5462252,atherosclerosis,動脈粥狀硬化,,,2019-10-31
5462253,ATP synthase,ATP合[成]酶,,20220421修訂,2022-07-15
5462254,ATP {adenosine 5'-triphosphate},腺[核]苷三磷酸,,,2019-10-31
5462255,atrial natriuretic peptide {=ANP},心房排鈉肽,,,2019-10-31
5462256,atrioventricular node {=AV node},房室結,,,2019-10-31
5462257,atrioventricular valve {=AV valve},房室瓣,,,2019-10-31
5462258,atrium {pl. atria},心房,,,2019-10-31
5462259,attenuated vaccine,減毒疫苗,,,2019-10-31
5462260,auditory area,聽覺區,,,2019-10-31
5462261,auditory bone,聽骨,,,2019-10-31
5462262,auditory canal,聽道,,,2019-10-31
5462263,auditory nerve,聽神經,,,2019-10-31
5462264,auditory tube {Eustachian tube},歐氏管；耳咽管,,,2019-10-31
5462265,auricle,耳殼,,,2019-10-31
5462266,Australopithecus,南猿[屬],,,2019-10-31
5462267,Australopithecus afarensis,阿法南猿,,,2019-10-31
5462268,Australopithecus africanus,非洲南猿,,,2019-10-31
5462269,Australopithecus boisei,鮑式南猿,,,2019-10-31
5462270,Australopithecus robustus,粗壯南猿,,,2019-10-31
5462271,autograft,自體移植；自體嫁接 {植物},,,2019-10-31
5462272,autoimmune disease,自體免疫疾病,,,2019-10-31
5462273,autoimmunity,自體免疫,,,2019-10-31
5462274,autonomic nerve,自律神經,,,2019-10-31
5462275,autonomic nervous system,自律神經系,,,2019-10-31
5462276,autophagosome,自噬小體,,,2019-10-31
5462277,autophagy,自噬[作用],,,2019-10-31
5462278,autopolyploid,同源多倍體；同源多倍體的,,,2019-10-31
5462279,autopolyploidy,同源多倍性,,,2019-10-31
5462280,autosome,體染色體,,,2019-10-31
5462281,autotetraploid,同源四倍體,,,2019-10-31
5462282,autotroph,自營生物,,,2019-10-31
5462283,autotrophic bacteria,自營[細]菌,,,2019-10-31
5462284,autotrophism,自營,,,2019-10-31
5462285,auxiliary system,輔助系統,,,2019-10-31
5462286,auxin,[植物]生長素,,,2019-10-31
5462287,AV node {atrioventricular node},房室結,,,2019-10-31
5462288,AV valve {atrioventricular valve},房室瓣,,,2019-10-31
5462289,Aves,鳥綱,,,2019-10-31
5462290,avian influenza,禽流感,,,2019-10-31
5462291,avian influenza virus,禽流感病毒,,,2019-10-31
5462292,avidin,抗生物素蛋白,,,2019-10-31
5462293,axial skeleton,中軸骨骼,,,2019-10-31
5462294,axillary bud,腋芽,,,2019-10-31
5462295,axon,軸突,,,2019-10-31
5462296,baboon,狒狒,,,2019-10-31
5462297,bacilli {sing. bacillus},桿菌,,,2019-10-31
5462298,Bacillus Calmette-Guérin vaccine {=BCG vaccine},卡[氏]介[氏]苗,,,2019-10-31
5462299,Bacillus thuringiensis,蘇力菌,,,2019-10-31
5462300,bacillus {pl. bacilli},桿菌,,,2019-10-31
5462301,Bacteria domain,細菌域,,,2019-10-31
5462302,bacteria {sing. bacterium},細菌,,,2019-10-31
5462303,bacterial cell,細菌細胞,,,2019-10-31
5462304,bacterial chromosome,細菌染色體,,,2019-10-31
5462305,bacterial colony,菌落,,,2019-10-31
5462306,bacterial plasmid,細菌質體,,,2019-10-31
5462307,bacteriophage {phage},噬菌體,,,2019-10-31
5462308,bacterium {pl. bacteria},細菌,,,2019-10-31
5462309,baculovirus,桿狀病毒,,,2019-10-31
5462310,Bakanae {foolish seedling disease},笨苗病,,,2019-10-31
5462311,bark,樹皮,,,2019-10-31
5462312,baroreceptor,壓力受器,,,2019-10-31
5462313,Barr body,巴爾[氏]體,,,2019-10-31
5462314,basal body,基體,,,2019-10-31
5462315,basal ganglia,基底神經節,,,2019-10-31
5462316,basal metabolic rate {=BMR},基礎代謝率,,,2019-10-31
5462317,base pair,鹼基對,,,2019-10-31
5462318,base sequence {nucleotide sequence},鹼基序列 {核苷酸序列},,,2019-10-31
5462319,base {nitrogenous base},鹼基；含氮鹼基,,,2019-10-31
5462320,basement membrane,基底膜,,,2019-10-31
5462321,basidospore,擔孢子,,,2019-10-31
5462322,basophil,嗜鹼性球,,,2019-10-31
5462323,behavioral isolation,行為隔離,,,2019-10-31
5462324,benthos,底棲生物,,,2019-10-31
5462325,Berberis morrisonesis,玉山小蘗,,,2019-10-31
5462326,beta-pleated sheet {β-pleated sheet; β-sheet; beta-sheet},貝他褶板；β褶板,,,2019-10-31
5462327,bicarbonate,碳酸氫根,,,2019-10-31
5462328,biceps,二頭肌,,,2019-10-31
5462329,bicuspid valve {mitral valve},二尖瓣；僧帽瓣,,,2019-10-31
5462330,bilateral symmetry,兩側對稱,,,2019-10-31
5462331,bile,膽汁,,,2019-10-31
5462332,bile pigment,膽色素,,,2019-10-31
5462333,binary fission,二分裂[生殖],,,2019-10-31
5462334,binomial system,二名制；二名法；二名式,,,2019-10-31
5462335,bioaccumulation,生物累積,,,2019-10-31
5462336,biochemistry,生物化學,,,2019-10-31
5462337,bioconcentration,生物濃縮[作用],,,2019-10-31
5462338,biodiversity,生物多樣性,,,2019-10-31
5462339,biodiversity informatics,生物多樣性資訊學,,,2019-10-31
5462340,biogenesis,生源[說]；生成 {細胞生物},,,2019-10-31
5462341,biogeography,生物地理學,,,2019-10-31
5462342,bioinformatics,生物資訊學,,,2019-10-31
5462343,biological control,生物防治,,,2019-10-31
5462344,biological factor,生物因子,,,2019-10-31
5462345,biological magnification {biomagnification},生物放大[效應],,,2019-10-31
5462346,biological membrane,生物膜,,,2019-10-31
5462347,biological oxygen demand {=BOD},生物需氧量,,,2019-10-31
5462348,biological species,生物種,,,2019-10-31
5462349,biological transmission,生物性傳播,,,2019-10-31
5462350,biomagnification {biological magnification},生物放大[效應],,,2019-10-31
5462351,biomarker,生物標記,,,2019-10-31
5462352,biomass,生物量；生質量,,,2019-10-31
5462353,biomass pyramid {pyramid of biomass},生物量[金字]塔,,,2019-10-31
5462354,biome,生物群系；生物群區,,,2019-10-31
5462355,biomembrane,生物膜,,,2019-10-31
5462356,bioreactor,生物反應器,,,2019-10-31
5462357,biosphere,生物圈,,,2019-10-31
5462358,biosynthesis,生[物]合成,,,2019-10-31
5462359,biota,生物相；生物誌,,,2019-10-31
5462360,biotechnology,生物科技,,,2019-10-31
5462361,biotic dependent factor,生物依存因子,,,2019-10-31
5462362,biotic independent factor,生物非依存因子,,,2019-10-31
5462363,biotic potential,生物潛能,,,2019-10-31
5462364,bipolar cell,雙極細胞,,,2019-10-31
5462365,bipolar neuron,雙極神經元,,,2019-10-31
5462366,bird-pollinated flower,鳥媒花,,,2019-10-31
5462367,birth rate,出生率,,,2019-10-31
5462368,bisexual flower,兩性花,,,2019-10-31
5462369,Biston betularia,胡椒蛾,,,2019-10-31
5462370,bivalves,雙殼貝類；二枚貝類,,,2019-10-31
5462371,bladderwort,狸藻,,,2019-10-31
5462372,blade {leaf blade},葉片,,,2019-10-31
5462373,blastema,胚芽,,,2019-10-31
5462374,blastocyst,胚囊 {哺乳類},,,2019-10-31
5462375,blastosphere {blastula},囊胚,,,2019-10-31
5462376,blastula {blastosphere},囊胚,,,2019-10-31
5462377,blending inheritance,融合遺傳；混合遺傳,,,2019-10-31
5462378,blind spot,盲點,,,2019-10-31
5462379,blood cell,血球,,,2019-10-31
5462380,blood clot,血凝塊,,,2019-10-31
5462381,blood of umbilical cord,臍帶血,,,2019-10-31
5462382,blood plasma,血漿,,,2019-10-31
5462383,blood platelet,血小板,,,2019-10-31
5462384,blood pressure,血壓,,,2019-10-31
5462385,blood type,血型,,,2019-10-31
5462386,blood vessel,血管,,,2019-10-31
5462387,blood-brain barrier,血腦障壁,,,2019-10-31
5462388,body fluid,體液,,,2019-10-31
5462389,Bolting,抽穗,,,2019-10-31
5462390,bolus,食團,,,2019-10-31
5462391,bone,硬骨,,,2019-10-31
5462392,bone marrow,骨髓,,,2019-10-31
5462393,bony fish,硬骨魚,,,2019-10-31
5462394,book lung,書肺,,,2019-10-31
5462395,bottleneck effect,瓶頸效應,,,2019-10-31
5462396,botulinus,肉毒桿菌,,,2019-10-31
5462397,botulism,肉毒桿菌中毒；臘腸菌病,,,2019-10-31
5462398,Bowman's capsule,鮑氏囊,,,2019-10-31
5462399,bradykinin,舒緩肽,,,2019-10-31
5462400,brain,腦,,,2019-10-31
5462401,brain stem {brainstem},腦幹,,,2019-10-31
5462402,brainstem {brain stem},腦幹,,,2019-10-31
5462403,branchial respiration,鰓呼吸,,,2019-10-31
5462404,breathing control center,呼吸調控中樞,,,2019-10-31
5462405,bristle,剛毛,,,2019-10-31
5462406,broad leaved forest,闊葉林,,,2019-10-31
5462407,Broca's area,布洛卡[氏]區,,,2019-10-31
5462408,bronchiole,小支氣管,,,2019-10-31
5462409,bronchitis,支氣管炎,,,2019-10-31
5462410,bronchus {pl. bronchi},支氣管,,,2019-10-31
5462411,brown algae,褐藻,,,2019-10-31
5462412,brush border,刷狀緣,,,2019-10-31
5462413,Bryophyta,蘚苔植物門,,,2019-10-31
5462414,budding,出芽,,,2019-10-31
5462415,budding reproduction,出芽生殖,,,2019-10-31
5462416,budding yeast,出芽酵母菌,,,2019-10-31
5462417,buffer,緩衝液,,,2019-10-31
5462418,buffer effect,緩衝作用,,,2019-10-31
5462419,bulbourethral gland,尿道球腺,,,2019-10-31
5462420,bundle sheath,維管束鞘,,,2019-10-31
5462421,Bungarus multicinctus,雨傘節 {蛇},,,2019-10-31
5462422,bursa of Fabricius,法氏囊,,,2019-10-31
5462423,butyric acid,丁酸,,,2019-10-31
5462424,C3 cycle,三碳循環,,,2019-10-31
5462425,C4 cycle,四碳循環,,,2019-10-31
5462426,"caeca {sing. caecum; ceca, sing. cecum}",盲腸,,,2019-10-31
5462427,"caecum {pl. caeca; cecum, pl. ceca}",盲腸,,,2019-10-31
5462428,calciferol,鈣化醇,,,2019-10-31
5462429,calcitonin,降鈣素,,,2019-10-31
5462430,calcitriol,鈣化三醇,,,2019-10-31
5462431,calcium pectate,果膠鈣,,,2019-10-31
5462432,callus,癒合組織；癒傷組織,,,2019-10-31
5462433,calorie {=cal},卡 {熱量單位},,,2019-10-31
5462434,calorimeter,熱量計,,,2019-10-31
5462435,Calvin cycle,卡爾文[氏]循環,,,2019-10-31
5462436,calyx,花萼 {植}；萼 {動},,,2019-10-31
5462437,cambium,形成層,,,2019-10-31
5462438,Cambrian explosion,寒武紀大爆發,,,2019-10-31
5462439,canal of Schlemm,舒萊姆[氏]管,,,2019-10-31
5462440,canaliculi {sing. canaliculus},小管,,,2019-10-31
5462441,canaliculus {pl. canaliculi},小管,,,2019-10-31
5462442,cancer,癌,,,2019-10-31
5462443,canopy strata,樹冠層,,,2019-10-31
5462444,capillary,微血管,,,2019-10-31
5462445,capillary action,毛細管作用,,,2019-10-31
5462446,Capricornis crispus swinhoei,臺灣長鬃山羊,,,2019-10-31
5462447,capsid,殼體,,,2019-10-31
5462448,capsomere,殼粒,,,2019-10-31
5462449,capsule,莢膜 {細菌}；蒴果 {植物},,,2019-10-31
5462450,carbohydrate,醣類；碳水化合物,,,2019-10-31
5462451,carbon cycle,碳循環,,,2019-10-31
5462452,carbon dioxide,二氧化碳,,,2019-10-31
5462453,carbon fixation,固碳作用,,,2019-10-31
5462454,carbon skeleton,碳骨架,,,2019-10-31
5462455,carbonic anhydrase,碳酸酐酶,,,2019-10-31
5462456,Carboniferous period,石炭紀,,,2019-10-31
5462457,carboxyl group,羧基,,,2019-10-31
5462458,carcinogen,致癌物,,,2019-10-31
5462459,cardia,賁門,,,2019-10-31
5462460,cardiac center,心搏中樞,,,2019-10-31
