ID,英文名稱,中文名稱,圖片,備註,更新日期
3630862,esterification,酯化,,,2018-12-17
3630863,esters,酯類,,,2018-12-17
3630864,ethanal,乙醛,,,2018-12-17
3630865,ethane,乙烷,,,2018-12-17
3630866,ethanedioic acid,乙二酸,,,2018-12-17
3630867,ethanoic acid,乙酸,,,2018-12-17
3630868,ethanol,乙醇,,,2018-12-17
3630869,ethene,乙烯,,,2018-12-17
3630870,ethers,醚類,,,2018-12-17
3630871,ethyl acetate,乙酸乙酯,,,2018-12-17
3630872,ethyl formate,甲酸乙酯,,,2018-12-17
3630873,ethyl hydrogen sulfate,硫酸氫乙酯,,,2018-12-17
3630874,ethyl methyl ether,甲基乙基醚,,,2018-12-17
3630875,ethylamine,乙胺,,,2018-12-17
3630876,ethylbenzene,乙苯,,,2018-12-17
3630877,ethylene glycol,乙二醇,,,2018-12-17
3630878,ethylenediaminetetraacetate {= EDTA4-},乙二胺四乙酸根,,,2018-12-17
3630879,ethylenediaminetetraacetic acid {= EDTA},[伸]乙二胺四乙酸,,,2018-12-17
3630880,ethyne,乙炔,,,2018-12-17
3630881,eukaryote,真核生物,,,2018-12-17
3630882,eutectic,共熔體,,,2018-12-17
3630883,eutrophication,優養化,,,2018-12-17
3630884,evaporation,蒸發,,,2018-12-17
3630885,excess reagent,過量試劑,,,2018-12-17
3630886,excited state,激發態,,,2018-12-17
3630887,exosphere,外氣層,,,2018-12-17
3630888,exothermic reaction,放熱反應,,,2018-12-17
3630889,extraction,萃取,,,2018-12-17
3630890,Eyring,艾苓,,,2018-12-17
3630891,f-block element,f-區元素,,,2018-12-17
3630892,face-centered cubic packing,面心立方堆積,,,2018-12-17
3630893,face-centered cubic unit cell,面心立方單位晶格,,,2018-12-17
3630894,face-centered cubic {= fcc},面心立方；fcc,,,2019-10-28
3630895,family,族,,,2018-12-17
3630896,Faraday,法拉第,,,2018-12-17
3630897,Faraday's first law of electrolysis,法拉第電解第一定律,,,2018-12-17
3630898,Faraday's law of electrolysis,法拉第電解定律,,,2018-12-17
3630899,Faraday's second law of electrolysis,法拉第電解第二定律,,,2018-12-17
3630900,fat,脂肪,,,2018-12-17
3630901,fatty acid,脂肪酸,,,2018-12-17
3630902,Fehling's solution,斐林試液,,,2018-12-17
3630903,femtochemistry,飛秒化學,,,2018-12-17
3630904,femtosecond,飛秒,,,2018-12-17
3630905,fiber,纖維,,,2018-12-17
3630906,filtration,過濾,,,2018-12-17
3630907,final state,終態,,,2018-12-17
3630908,first ionization energy,第一游離能,,,2018-12-17
3630909,first-order reaction,一級反應,,,2018-12-17
3630910,Fischer,費雪　,,,2018-12-17
3630911,fission,分裂,,,2018-12-17
3630912,flavanol,黃烷醇,,,2018-12-17
3630913,foam,泡沫,,,2018-12-17
3630914,formaldehyde,甲醛,,,2018-12-17
3630915,formalin,福馬林,,,2018-12-17
3630916,formamide,甲醯胺,,,2018-12-17
3630917,formation constant,生成常數,,,2018-12-17
3630918,formic acid,蟻酸；甲酸,,,2018-12-17
3630919,formula weight,式量,,,2018-12-17
3630920,forward reaction,正反應,,,2018-12-17
